product_id,product_name,category,subcategory,unit_cost,list_price
PROD-00046,Husband Snacks Fall,Grocery,Snacks,146.77,170.79
PROD-00047,Long Skincare Prove,Health & Beauty,Skincare,1185.11,1368.42
PROD-00048,They Audio His,Electronics,Audio,153.45,179.6
PROD-00049,Commercial Men Hospital,Apparel,Men,1038.03,1381.63
PROD-00050,Hear Kitchen Determine,Home & Living,Kitchen,1087.68,1762.24
PROD-00051,Religious Wellness Example,Health & Beauty,Wellness,955.89,1586.78
PROD-00052,Science Kitchen Write,Home & Living,Kitchen,206.77,326.35
PROD-00053,Result Women Raise,Apparel,Women,833.98,1427.35
PROD-00054,Away Computing Politics,Electronics,Computing,1313.84,2062.75
PROD-00055,Prove Mobile Accessories Congress,Electronics,Mobile Accessories,1461.86,2441.87
PROD-00056,None Audio Shoulder,Electronics,Audio,399.35,598.46
PROD-00057,Election Beverages Common,Grocery,Beverages,383.31,556.07
PROD-00058,Maintain Mobile Accessories Hundred,Electronics,Mobile Accessories,1619.88,2764.13
PROD-00059,Expect Audio Wish,Electronics,Audio,1311.25,1968.69
PROD-00060,Push Audio Rise,Electronics,Audio,1854.21,3155.22
PROD-00061,Onto Beverages Discuss,Grocery,Beverages,981.57,1265.18
PROD-00062,Reveal Kitchen Garden,Home & Living,Kitchen,345.98,398.36
PROD-00063,Threat Furniture Special,Home & Living,Furniture,1854.51,3079.11
PROD-00064,Stand Women Arrive,Apparel,Women,1399.25,2273.54
PROD-00065,Drop Wellness Term,Health & Beauty,Wellness,1442.45,1803.95
PROD-00066,Almost Men Support,Apparel,Men,1938.04,2958.35
PROD-00067,Four Skincare Institution,Health & Beauty,Skincare,1500.99,1781.91
PROD-00068,Executive Personal Care Attorney,Health & Beauty,Personal Care,1015.64,1730.92
PROD-00069,Development Snacks White,Grocery,Snacks,1922.34,2310.79
PROD-00070,Yes Snacks Our,Grocery,Snacks,1198.17,1903.76
PROD-00071,Under Beverages Serious,Grocery,Beverages,257.38,444.93
PROD-00072,Forward Household Difference,Grocery,Household,1197.15,1858.69
PROD-00073,Reality Decor Money,Home & Living,Decor,1175.67,1751.52
PROD-00074,Individual Men Usually,Apparel,Men,1346.06,1822.86
PROD-00075,Who Women Question,Apparel,Women,279.14,438.13
PROD-00076,Low Furniture Character,Home & Living,Furniture,1859.46,3269.35
PROD-00077,Evidence Mobile Accessories Chair,Electronics,Mobile Accessories,1249.9,1894.78
PROD-00078,Employee Audio Size,Electronics,Audio,1084.52,1603.82
PROD-00079,Option Beverages Nothing,Grocery,Beverages,1764.11,3036.96
PROD-00080,Everyone Women Skin,Apparel,Women,332.34,562.3
PROD-00081,Pattern Kids Later,Apparel,Kids,1968.03,3295.69
PROD-00082,Water Skincare Past,Health & Beauty,Skincare,1342.37,2027.64
PROD-00083,Inside Audio High,Electronics,Audio,543.64,939.58
PROD-00084,Discuss Skincare Certainly,Health & Beauty,Skincare,559.25,863.0
PROD-00085,Mr Men Minute,Apparel,Men,1381.24,2354.18
PROD-00086,Benefit Personal Care Someone,Health & Beauty,Personal Care,517.22,900.12
PROD-00087,Anyone Audio Traditional,Electronics,Audio,1275.88,2155.06
PROD-00088,Break Audio Claim,Electronics,Audio,680.44,840.37
PROD-00089,Product Men Collection,Apparel,Men,1487.64,2244.24
PROD-00090,Structure Decor Response,Home & Living,Decor,39.15,46.94
PROD-00091,Knowledge Household Pick,Grocery,Household,91.34,126.96
PROD-00092,Attack Skincare Image,Health & Beauty,Skincare,870.98,1025.31
PROD-00093,I Men Pick,Apparel,Men,1799.87,2315.62
PROD-00094,Management Household Newspaper,Grocery,Household,223.53,370.41
PROD-00095,Enter Decor On,Home & Living,Decor,1503.97,2634.57
PROD-00096,Traditional Snacks Yes,Grocery,Snacks,1952.89,3275.0
PROD-00097,Activity Kitchen Response,Home & Living,Kitchen,375.13,656.82
PROD-00098,Set Decor Building,Home & Living,Decor,1730.85,2902.61
PROD-00099,Rest Men Value,Apparel,Men,1579.0,1926.79
PROD-00100,Not Mobile Accessories Social,Electronics,Mobile Accessories,460.42,773.87
PROD-00101,Example Furniture Specific,Home & Living,Furniture,624.28,1040.66
PROD-00102,Put Snacks Grow,Grocery,Snacks,66.86,85.28
PROD-00103,Brother Women Finally,Apparel,Women,1731.42,3079.29
PROD-00104,Learn Women Coach,Apparel,Women,1290.13,1818.81
PROD-00105,Long Personal Care About,Health & Beauty,Personal Care,1879.69,2302.57
PROD-00106,Seven Men Type,Apparel,Men,1169.57,2092.72
PROD-00107,Serve Audio Everyone,Electronics,Audio,1201.21,1651.3
PROD-00108,Month Women Sound,Apparel,Women,1220.29,1808.99
PROD-00109,Could Decor Movement,Home & Living,Decor,396.36,467.25
PROD-00110,While Kitchen Born,Home & Living,Kitchen,1049.44,1757.01
PROD-00111,Truth Beverages Process,Grocery,Beverages,873.97,1544.1
PROD-00112,Fire Kids Thought,Apparel,Kids,641.55,1091.41
PROD-00113,Purpose Kids Movement,Apparel,Kids,632.38,895.11
PROD-00114,Politics Decor Decide,Home & Living,Decor,605.4,746.3
PROD-00115,Claim Decor Hour,Home & Living,Decor,1881.92,2992.74
PROD-00116,Sound Household Color,Grocery,Household,1146.83,1621.56
PROD-00117,Notice Mobile Accessories Start,Electronics,Mobile Accessories,588.09,840.63
PROD-00118,Win Wellness Nice,Health & Beauty,Wellness,1316.32,1911.62
PROD-00119,Why Decor A,Home & Living,Decor,443.13,645.89
PROD-00120,Place Household Game,Grocery,Household,187.9,279.04
